	consumption	temperature	humidity
2011_01	1015,9	-8.801209677419354	72.63709677419355
2011_02	865,4	-2.4669642857142855	81.20982142857143
2011_03	873,3	1.8431451612903227	67.76209677419354
2011_04	673,7	14.314583333333335	50.78333333333333
2011_05	630,4	17.76975806451613	52.74596774193548
2011_06	620,9	22.603333333333335	48.52916666666667
2011_07	649,0	24.345967741935482	43.25806451612903
2011_08	660,8	23.7875	43.967741935483865
2011_09	633,8	19.118333333333332	43.325
2011_10	775,6	11.088709677419354	63.467741935483865
2011_11	906,9	2.1816666666666666	81.09166666666667
2011_12	1043,5	-4.78225806451613	83.43548387096773
2012_01	1065,1	-7.793951612903225	77.20564516129032
2012_02	990,2	-6.488362068965517	76.93103448275862
2012_03	915,2	3.083870967741935	71.14112903225805
2012_04	670,4	16.0925	39.337500000000006
2012_05	666,4	18.460887096774194	45.14516129032258
2012_06	657,7	22.942083333333333	44.30416666666667
2012_07	704,1	25.368145161290318	38.53225806451613
2012_08	716	25.00483870967742	32.721774193548384
2012_09	673,1	19.33833333333333	38.74166666666667
2012_10	810,4	11.41008064516129	49.149193548387096
2012_11	934,9	1.4558333333333335	71.39166666666667
2012_12	1096,9	-7.511693548387099	78.35483870967742
2013_01	1038,3	-2.404032258064516	71.01209677419355
2013_02	934,9	-3.583928571428572	82.09821428571428
2013_03	853,6	9.074193548387097	62.189516129032256
2013_04	739,7	12.482916666666666	59.516666666666666
2013_05	698,5	16.976209677419355	51.58870967741936
2013_06	676,2	21.21875	49.329166666666666
2013_07	717,9	24.402822580645157	42.04435483870968
2013_08	706,1	23.338306451612905	46.278225806451616
2013_09	671,5	19.855	41.36249999999999
2013_10	788,1	13.302419354838708	51.70161290322581
2013_11	915,3	3.6829166666666664	66.00416666666666
2013_12	1002,8	-1.740725806451613	74.96774193548387
2014_01	1032,7	-3.4044354838709676	73.11693548387098
2014_02	987,6	-8.881250000000001	76.67410714285714
2014_03	927,5	3.7451612903225806	69.10483870967741
2014_04	789,9	9.78375	60.858333333333334
2014_05	717,3	18.72258064516129	39.4233870967742
2014_06	716,8	22.735416666666666	41.104166666666664
2014_07	757,6	24.923387096774192	34.25806451612903
2014_08	745,1	24.04274193548387	33.479838709677416
2014_09	709,1	18.115833333333335	41.7
2014_10	881,2	9.268951612903226	69.79032258064517
2014_11	954,2	1.6116666666666668	76.94166666666666
2014_12	1062,7	-3.220564516129032	76.3225806451613
2015_01	1029,5	-2.679435483870968	74.93145161290322
2015_02	898,9	1.0575892857142857	72.75892857142857
2015_03	907,1	4.3959677419354835	65.82258064516128
2015_04	758,5	13.954999999999998	53.52916666666666
2015_05	710,0	18.99274193548387	53.04032258064517
2015_06	712,5	22.551666666666666	45.68333333333334
2015_07	791,3	27.264112903225804	36.46370967741936
2015_08	757,8	23.718145161290323	41.358870967741936
2015_09	724,9	15.682083333333333	50.5375
2015_10	843,3	11.521370967741936	60.641129032258064
2015_11	843,3	3.76	77.18333333333334
2015_12	980,4	0.1915322580645161	69.46370967741936
2016_01	967,3	-0.9693548387096772	83.36693548387096
2016_02	900.1	0.46810344827586214	68.24568965517241
2016_03	842.6	9.185887096774193	65.77016129032259
2016_04	745.2	13.384166666666665	64.60416666666667
2016_05	712.5	16.655241935483872	63.85483870967742
2016_06	710.1	23.097083333333337	52.7
2016_07	731.4	23.760483870967743	52.42741935483871
2016_08	740.1	22.879435483870964	47.26209677419355
2016_09	707.2	20.67583333333333	47.7375
2016_10	886.3	6.889919354838709	71.18951612903226
2016_11	962.8	0.24083333333333345	71.97916666666667
2016_12	1025.8	0.5774193548387097	78.1532258064516
2017_01	1037.6	-2.882258064516129	79.27016129032259
2017_02	922.3	-1.6437500000000003	76.37946428571428
2017_03	934.8	3.1661290322580644	73.48790322580645
2017_04	798.4	11.18375	64.1
2017_05	751.9	18.798387096774192	56.508064516129025
2017_06	748.8	22.43916666666667	51.50833333333333
2017_07	821.1	27.071774193548386	38.66935483870967
2017_08	783.5	22.624999999999996	42.552419354838705
2017_09	750.5	19.122083333333336	39.7125
2017_10	881.1	10.751209677419354	56.07661290322581
2017_11	929.7	5.089166666666667	68.61249999999998
2017_12	1081.6	-2.62983870967742	83.51612903225806
2018_01	1146.0	-10.412499999999998	80.96370967741936
2018_02	998.5	-2.3517857142857146	76.20089285714285
2018_03	927.4	8.595161290322581	66.26209677419355
2018_04	814.6	12.45375	58.05
2018_05	780.1	16.379032258064516	51.935483870967744
2018_06	771.6	22.305416666666666	48.045833333333334
2018_07	830.8	25.15483870967742	41.395161290322584
2018_08	833.8	24.41733870967742	41.846774193548384
2018_09	768.4	17.357499999999998	45.29583333333332
2018_10	905.0	10.97782258064516	59.36290322580645
2018_11	1038.8	0.20875	71.45416666666667
2018_12	1145.1	-2.8205645161290325	81.92741935483872
2019_01	1111.3	-1.941532258064516	79.88306451612904
2019_02	986.6	-1.5410714285714286	76.26785714285714
2019_03	948.9	8.195564516129032	62.18548387096774
2019_04	837.4	12.765	70.55833333333334
2019_05	823.3	16.981048387096774	51.95967741935484
2019_06	800.9	22.29208333333333	47.125
2019_07	923.4	27.15282258064516	36.62903225806452
2019_08	889.2	24.861693548387098	40.65322580645161
2019_09	801.6	18.547083333333333	51.38333333333334
2019_10	930.4	11.460483870967742	58.197580645161295
2019_11	1080.5	1.2012500000000002	76.3625
2019_12	1170.5	-0.8221774193548386	78.2741935483871
2020_01	1159.0	-2.8572580645161287	78.95564516129032
2020_02	1039,4	1.7056034482758624	73.25
2020_03	972,7	6.445161290322581	58.95564516129032
2020_04	773,9	13.964166666666667	61.75416666666666
2020_05	748,9	18.822580645161292	53.84274193548388
2020_06	801,2	22.044166666666666	40.599999999999994
2020_07	820,7	24.34354838709677	41.54032258064517
2020_08	833,0	23.999193548387098	42.528225806451616
2020_09	819.3	16.77125	46.075
2020_10	989,5	9.712096774193547	49.362903225806456
2020_11	1084,0	0.20833333333333318	66.60416666666666
2020_12	1269,3	-6.250000000000001	82.62096774193547
2021_01	1215,6	-5.661290322580645	73.35887096774194
2021_02	1033,3	1.7397321428571433	70.84375
2021_03	1079,6	4.8862903225806456	69.95161290322581
2021_04	940,0	12.452916666666667	48.79583333333334
2021_05	879,2	19.476209677419355	51.616935483870975
2021_06	889,3	23.022499999999997	39.13333333333333
2021_07	992,5	27.178629032258065	36.806451612903224
2021_08	938,1	24.600806451612907	38.87903225806451
2021_09	905,1	20.529999999999998	36.09583333333333
2021_10	1093,2	7.865322580645162	61.278225806451616
2021_11	1165,5	1.1325	64.07083333333334
2021_12	1253,1	1.2806451612903227	74.18951612903226
2022_01	1181,0	-0.10927419354838713	78.61693548387096
2022_02	1122,3	-1.0973214285714288	74.29017857142857
2022_03	1129,1	5.64032258064516	74.81048387096774
2022_04	927,9	16.694583333333334	48.31666666666666
2022_05	917,3	18.961290322580645	57.60080645161291
2022_06	948,8	24.336666666666666	42.15416666666667
2022_07	1029,3	26.40766129032258	35.75806451612903
2022_08	980,4	22.585887096774194	40.649193548387096
2022_09	949.1	21.088749999999997	35.395833333333336
